,test.test,test.X2,test.df,test.p.value,uni.lhs,uni.op,uni.rhs,uni.X2,uni.df,uni.p.value
1,score,6055.115484,174,0,.p1.,==,.p490.,445.797192,1,0
2,score,6055.115484,174,0,.p2.,==,.p491.,197.1834451,1,0
3,score,6055.115484,174,0,.p3.,==,.p492.,424.4397963,1,0
4,score,6055.115484,174,0,.p4.,==,.p493.,103.6029266,1,0
5,score,6055.115484,174,0,.p5.,==,.p494.,0.419318283,1,0.517277404
6,score,6055.115484,174,0,.p6.,==,.p495.,229.4225601,1,0
7,score,6055.115484,174,0,.p7.,==,.p496.,52.36069235,1,4.62E-13
8,score,6055.115484,174,0,.p8.,==,.p497.,6.688192181,1,0.009705358
9,score,6055.115484,174,0,.p9.,==,.p498.,0.286112867,1,0.592722333
10,score,6055.115484,174,0,.p10.,==,.p499.,58.91647239,1,1.64E-14
11,score,6055.115484,174,0,.p11.,==,.p500.,85.30054679,1,0
12,score,6055.115484,174,0,.p12.,==,.p501.,29.16632309,1,6.64E-08
13,score,6055.115484,174,0,.p13.,==,.p502.,18.6682875,1,1.56E-05
14,score,6055.115484,174,0,.p14.,==,.p503.,2.488825505,1,0.11465726
15,score,6055.115484,174,0,.p16.,==,.p505.,0.053514439,1,0.817056981
16,score,6055.115484,174,0,.p17.,==,.p506.,74.57829953,1,0
17,score,6055.115484,174,0,.p18.,==,.p507.,6.408737267,1,0.011356015
18,score,6055.115484,174,0,.p19.,==,.p508.,0.279026663,1,0.597339887
19,score,6055.115484,174,0,.p20.,==,.p509.,90.75151268,1,0
20,score,6055.115484,174,0,.p21.,==,.p510.,6.438790501,1,0.011165464
21,score,6055.115484,174,0,.p22.,==,.p511.,5.350484464,1,0.020716514
22,score,6055.115484,174,0,.p23.,==,.p512.,21.86128843,1,2.93E-06
23,score,6055.115484,174,0,.p24.,==,.p513.,112.6905933,1,0
24,score,6055.115484,174,0,.p25.,==,.p514.,161.6037169,1,0
25,score,6055.115484,174,0,.p26.,==,.p515.,190.1454841,1,0
26,score,6055.115484,174,0,.p27.,==,.p516.,113.9465262,1,0
27,score,6055.115484,174,0,.p28.,==,.p517.,86.02876855,1,0
28,score,6055.115484,174,0,.p29.,==,.p518.,98.95686637,1,0
29,score,6055.115484,174,0,.p30.,==,.p519.,73.16869494,1,0
30,score,6055.115484,174,0,.p31.,==,.p520.,1.552264311,1,0.212801478
31,score,6055.115484,174,0,.p32.,==,.p521.,427.1052257,1,0
32,score,6055.115484,174,0,.p33.,==,.p522.,25.46642619,1,4.50E-07
